Category,Test,Test implemented (GTR),Comment,Flow testplan,Test function in flow,C++ file
Delta,Matching Test,Y,-- Matching_tests --,UR78FA008BE01.tpl; UR78FC008BE01.tpl; UR78FH008BE01.tpl; UR78QH008BE01.tpl,Matching_tests,Matching_tests.cpp
Delta,"Delta Pre-/Post- continuity, leakage, consumption (case of no stress)",Y,-- Relative ESM Tests --,UR78FC008BE01.tpl; UR78FH008BE01.tpl,T_RELATIVE_ESM,T_RELATIVE_ESM.cpp
Stress,Stress Test Matrix (drop down cells below),,Grouping row only; not a test function.,,,
Inline Stress,Supply OverVoltage stress (Vbump),Y,-- AMR Test Function --,UR78FC008BE01.tpl; UR78FH008BE01.tpl; UR78QH008BE01.tpl,T_AMR,T_AMR.cpp
Inline Stress,Analog Supply OverVoltage stress (Vmax),Y,-- AMR Test Function --,UR78FC008BE01.tpl; UR78FH008BE01.tpl; UR78QH008BE01.tpl,T_AMR,T_AMR.cpp
Inline Stress,Gate OverVoltage stress (Vgate stress),na,"Exact gate-overvoltage stress test unavailable. Similar active alternatives: T_AMR applies supply/analog overvoltage and T_DRAIN_STRESS_HS/T_DRAIN_STRESS_LS apply drain overvoltage, but neither applies or judges Vgate stress.","UR78FC008BE01.tpl (T_AMR); UR78FH008BE01.tpl (T_AMR, T_DRAIN_STRESS_HS, T_DRAIN_STRESS_LS); UR78QH008BE01.tpl (T_AMR)",T_AMR; T_DRAIN_STRESS_HS; T_DRAIN_STRESS_LS,T_AMR.cpp; T_DRAIN_STRESS_HS.cpp; T_DRAIN_STRESS_LS.cpp
Inline Stress,Drain OverVoltage stress (Vdrain stress),Y,-- DRAIN_STRESS_HS Test Function --; -- DRAIN_STRESS_LS Test Function --,UR78FH008BE01.tpl,T_DRAIN_STRESS_HS; T_DRAIN_STRESS_LS,T_DRAIN_STRESS_HS.cpp; T_DRAIN_STRESS_LS.cpp
Inline Stress,MOM OverVoltage stress (MOM stress),na,"Exact MOM-overvoltage stress test unavailable. Similar active alternatives: T_AMR applies supply/analog overvoltage and T_DRAIN_STRESS_HS/T_DRAIN_STRESS_LS apply drain overvoltage, but neither applies or judges MOM stress.","UR78FC008BE01.tpl (T_AMR); UR78FH008BE01.tpl (T_AMR, T_DRAIN_STRESS_HS, T_DRAIN_STRESS_LS); UR78QH008BE01.tpl (T_AMR)",T_AMR; T_DRAIN_STRESS_HS; T_DRAIN_STRESS_LS,T_AMR.cpp; T_DRAIN_STRESS_HS.cpp; T_DRAIN_STRESS_LS.cpp
Inline Stress,Poly-to-Poly OverVoltage stress (Poly-to-Poly stress),na,"Exact poly-to-poly overvoltage stress test unavailable. Similar active alternatives: T_AMR applies supply/analog overvoltage and T_DRAIN_STRESS_HS/T_DRAIN_STRESS_LS apply drain overvoltage, but neither applies or judges poly-to-poly stress.","UR78FC008BE01.tpl (T_AMR); UR78FH008BE01.tpl (T_AMR, T_DRAIN_STRESS_HS, T_DRAIN_STRESS_LS); UR78QH008BE01.tpl (T_AMR)",T_AMR; T_DRAIN_STRESS_HS; T_DRAIN_STRESS_LS,T_AMR.cpp; T_DRAIN_STRESS_HS.cpp; T_DRAIN_STRESS_LS.cpp
Inline Stress,Energy stress,na,"Exact active energy-stress execution unavailable. Similar active alternative: T_DRAIN_STRESS_HS/T_DRAIN_STRESS_LS provide drain-overvoltage stress, while the Energy_Stress branch contains IDs 9041-9343 but is disabled by Energy_Stress = false.",UR78FH008BE01.tpl,T_DRAIN_STRESS_HS; T_DRAIN_STRESS_LS (dormant Energy_Stress branch),T_DRAIN_STRESS_HS.cpp; T_DRAIN_STRESS_LS.cpp
Offline Stress,Data Retention (DR) bake - High Temperature or equivalent,na,"Exact high-temperature DR bake unavailable. Similar active alternative: EEPROM_Read/EEPROM_Write perform functional NVM read/write with FDMA checks, but no temperature/time bake is applied, so they do not prove retention.","UR78FA008BE01.tpl (EEPROM_Read, EEPROM_Write); UR78FC008BE01.tpl (EEPROM_Read, EEPROM_Write); UR78FH008BE01.tpl (EEPROM_Read, EEPROM_Write); UR78QH008BE01.tpl (EEPROM_Read)",EEPROM_Read; EEPROM_Write,EEPROM_Read.cpp; EEPROM_Write.cpp
Offline Stress,Data Retention (DR) bake - Ambient Temperature or equivalent,na,"Exact ambient-temperature DR bake unavailable. Similar active alternative: EEPROM_Read/EEPROM_Write perform functional NVM read/write with FDMA checks, but no defined retention interval is applied, so they do not prove retention.","UR78FA008BE01.tpl (EEPROM_Read, EEPROM_Write); UR78FC008BE01.tpl (EEPROM_Read, EEPROM_Write); UR78FH008BE01.tpl (EEPROM_Read, EEPROM_Write); UR78QH008BE01.tpl (EEPROM_Read)",EEPROM_Read; EEPROM_Write,EEPROM_Read.cpp; EEPROM_Write.cpp
Inline Stress,Short cycles of Program/Erase (P/E),na,"Exact short-cycle P/E stress unavailable. Similar active alternative: the ambient Flow_Main_FT_ROOM path runs EEPROM_Write, which prepares calibration-related memory data and performs one EEPROM_ERASE followed by one EEPROM_WRITE and FDMA verification. This supports EEPROM calibration/data initialization, but no repeated short-cycle loop or cycle-count judgment is present.","UR78FA008BE01.tpl (EEPROM_Read, EEPROM_Write); UR78FC008BE01.tpl (EEPROM_Read, EEPROM_Write); UR78FH008BE01.tpl (EEPROM_Read, EEPROM_Write); UR78QH008BE01.tpl (EEPROM_Read)",EEPROM_Read; EEPROM_Write,EEPROM_Read.cpp; EEPROM_Write.cpp
Inline Stress,NVM - WordLine Gate stress (WL GS),na,"Exact NVM wordline-gate stress unavailable. Similar active alternative: EEPROM_Read/EEPROM_Write provide functional NVM access with FDMA checks, but they do not apply or judge wordline-gate stress.","UR78FA008BE01.tpl (EEPROM_Read, EEPROM_Write); UR78FC008BE01.tpl (EEPROM_Read, EEPROM_Write); UR78FH008BE01.tpl (EEPROM_Read, EEPROM_Write); UR78QH008BE01.tpl (EEPROM_Read)",EEPROM_Read; EEPROM_Write,EEPROM_Read.cpp; EEPROM_Write.cpp
Inline Stress,NVM - BitLine Drain stress (BL DS),na,"Exact NVM bitline-drain stress unavailable. Similar active alternative: EEPROM_Read/EEPROM_Write provide functional NVM access with FDMA checks, but they do not apply or judge bitline-drain stress.","UR78FA008BE01.tpl (EEPROM_Read, EEPROM_Write); UR78FC008BE01.tpl (EEPROM_Read, EEPROM_Write); UR78FH008BE01.tpl (EEPROM_Read, EEPROM_Write); UR78QH008BE01.tpl (EEPROM_Read)",EEPROM_Read; EEPROM_Write,EEPROM_Read.cpp; EEPROM_Write.cpp
Offline Stress,Partial Discharge (PD),na,"Exact partial-discharge test unavailable. Related active alternative: Continuity, Continuity_current, and T_0130_LKG_VD_CONTI provide electrical screening, but they do not measure partial-discharge activity.","UR78FA008BE01.tpl (Continuity, Continuity_current); UR78FC008BE01.tpl (Continuity, Continuity_current, T_0130_LKG_VD_CONTI); UR78FH008BE01.tpl (Continuity, Continuity_current, T_0130_LKG_VD_CONTI); UR78QH008BE01.tpl (Continuity, Continuity_current, T_0130_LKG_VD_CONTI)",Continuity; Continuity_current; T_0130_LKG_VD_CONTI,Continuity.cpp; Continuity_current.cpp; T_0130_LKG_VD_CONTI.cpp
Offline Stress,Static Burn-In or HTRB,na,"Exact static burn-in/HTRB test unavailable. Similar active alternatives: T_AMR and T_DRAIN_STRESS_HS/T_DRAIN_STRESS_LS apply and judge overvoltage, but no burn-in duration or HTRB high-temperature reverse-bias condition is present.","UR78FC008BE01.tpl (T_AMR); UR78FH008BE01.tpl (T_AMR, T_DRAIN_STRESS_HS, T_DRAIN_STRESS_LS); UR78QH008BE01.tpl (T_AMR)",T_AMR; T_DRAIN_STRESS_HS; T_DRAIN_STRESS_LS,T_AMR.cpp; T_DRAIN_STRESS_HS.cpp; T_DRAIN_STRESS_LS.cpp
Offline Stress,Dynamic Burn-In,na,"Exact dynamic burn-in test unavailable. Similar active alternatives: T_AMR and T_DRAIN_STRESS_HS/T_DRAIN_STRESS_LS apply dynamic electrical stress, but no sustained burn-in sequence or burn-in duration is present.","UR78FC008BE01.tpl (T_AMR); UR78FH008BE01.tpl (T_AMR, T_DRAIN_STRESS_HS, T_DRAIN_STRESS_LS); UR78QH008BE01.tpl (T_AMR)",T_AMR; T_DRAIN_STRESS_HS; T_DRAIN_STRESS_LS,T_AMR.cpp; T_DRAIN_STRESS_HS.cpp; T_DRAIN_STRESS_LS.cpp
Offline Stress,Short High Temperature stress (150�C),na,"Exact 150�C short-high-temperature stress unavailable. Similar active alternative: TEMPERATURE measures die temperature, but it does not create or hold a 150�C stress condition.",UR78FC008BE01.tpl,TEMPERATURE,TEMPERATURE.cpp
Offline Stress,Short Temperature Cycling stress (5 to 10 cycles),na,"Exact 5-10 cycle temperature stress unavailable. Similar active alternative: TEMPERATURE measures die temperature, and the program has separate room/cold/hot variants, but no automated temperature-cycle sequence is present.",UR78FC008BE01.tpl,TEMPERATURE,TEMPERATURE.cpp
Offline Stress,Short Temperature Humidity Bias stress,na,"Exact temperature-humidity-bias stress unavailable. Similar active alternative: TEMPERATURE provides thermal measurement, but no humidity exposure or bias-duration sequence is present.",UR78FC008BE01.tpl,TEMPERATURE,TEMPERATURE.cpp
Inline Stress,"Electrical test at Absolute Maximum Rating (AMR), if declared",Y,-- AMR Test Function --,UR78FC008BE01.tpl; UR78FH008BE01.tpl; UR78QH008BE01.tpl,T_AMR,T_AMR.cpp
Parametric,Breakdown Voltage (BV),na,"Exact breakdown-voltage test unavailable. Similar active alternative: T_REDH_VDS_THR_LS/T_REDL_VDS_THR_HS perform VDS threshold checks, but they do not sweep to or judge breakdown voltage.",UR78FC008BE01.tpl; UR78FH008BE01.tpl; UR78QH008BE01.tpl,T_REDH_VDS_THR_LS; T_REDL_VDS_THR_HS,T_REDH_VDS_THR_LS.cpp; T_REDL_VDS_THR_HS.cpp
Parametric,Rds ON,Y,"-- LS0_PARAMETER Test Function --; -- LS1_PARAMETER Test Function --; -- LS2_PARAMETER Test Function --; -- LS3_PARAMETER Test Function --; -- HS0_PARAMETER Test Function --; -- HS1_PARAMETER Test Function --; -- HS2_PARAMETER Test Function --; -- HS3_PARAMETER Test Function --",UR78FA008BE01.tpl (T_LS0_PARAMETER); UR78FC008BE01.tpl; UR78FH008BE01.tpl; UR78QH008BE01.tpl,T_LS0_PARAMETER; T_LS1_PARAMETER; T_LS2_PARAMETER; T_LS3_PARAMETER; T_HS0_PARAMETER; T_HS1_PARAMETER; T_HS2_PARAMETER; T_HS3_PARAMETER,T_LS0_PARAMETER.cpp; T_LS1_PARAMETER.cpp; T_LS2_PARAMETER.cpp; T_LS3_PARAMETER.cpp; T_HS0_PARAMETER.cpp; T_HS1_PARAMETER.cpp; T_HS2_PARAMETER.cpp; T_HS3_PARAMETER.cpp
Functional,Built-In Self Test (BIST),Y,-- SPI_Diagnostic --; -- IDDQ_SCAN --,UR78FA008BE01.tpl (SPI_Diagnostic); UR78FC008BE01.tpl; UR78FH008BE01.tpl; UR78QH008BE01.tpl,SPI_Diagnostic; IDDQ_SCAN,SPI_Diagnostic.cpp; IDDQ_SCAN.cpp
Functional,"Automatic Test Pattern Generator (ATPG), SCAN",Y,-- IDDQ_SCAN --,UR78FC008BE01.tpl; UR78FH008BE01.tpl; UR78QH008BE01.tpl,IDDQ_SCAN,IDDQ_SCAN.cpp
Functional,Propagation Delay,Y,"-- LS0_PARAMETER Test Function --; -- LS1_PARAMETER Test Function --; -- LS2_PARAMETER Test Function --; -- LS3_PARAMETER Test Function --; -- HS0_PARAMETER Test Function --; -- HS1_PARAMETER Test Function --; -- HS2_PARAMETER Test Function --; -- HS3_PARAMETER Test Function --; -- CPC_PARAMETER Test Function --; -- NDIS_TIMING Test Function --; -- NRESET_TIME Test Function --",UR78FA008BE01.tpl (T_LS0_PARAMETER); UR78FC008BE01.tpl; UR78FH008BE01.tpl; UR78QH008BE01.tpl,T_LS0_PARAMETER; T_LS1_PARAMETER; T_LS2_PARAMETER; T_LS3_PARAMETER; T_HS0_PARAMETER; T_HS1_PARAMETER; T_HS2_PARAMETER; T_HS3_PARAMETER; T_CPC_PARAMETER; T_NDIS_TIMING; T_NRESET_TIME,T_LS0_PARAMETER.cpp; T_LS1_PARAMETER.cpp; T_LS2_PARAMETER.cpp; T_LS3_PARAMETER.cpp; T_HS0_PARAMETER.cpp; T_HS1_PARAMETER.cpp; T_HS2_PARAMETER.cpp; T_HS3_PARAMETER.cpp; T_CPC_PARAMETER.cpp; T_NDIS_TIMING.cpp; T_NRESET_TIME.cpp
Functional,Rise / Fall times,Y,"-- LS0_PARAMETER Test Function --; -- LS1_PARAMETER Test Function --; -- LS2_PARAMETER Test Function --; -- LS3_PARAMETER Test Function --; -- HS0_PARAMETER Test Function --; -- HS1_PARAMETER Test Function --; -- HS2_PARAMETER Test Function --; -- HS3_PARAMETER Test Function --",UR78FA008BE01.tpl (T_LS0_PARAMETER); UR78FC008BE01.tpl; UR78FH008BE01.tpl; UR78QH008BE01.tpl,T_LS0_PARAMETER; T_LS1_PARAMETER; T_LS2_PARAMETER; T_LS3_PARAMETER; T_HS0_PARAMETER; T_HS1_PARAMETER; T_HS2_PARAMETER; T_HS3_PARAMETER,T_LS0_PARAMETER.cpp; T_LS1_PARAMETER.cpp; T_LS2_PARAMETER.cpp; T_LS3_PARAMETER.cpp; T_HS0_PARAMETER.cpp; T_HS1_PARAMETER.cpp; T_HS2_PARAMETER.cpp; T_HS3_PARAMETER.cpp
